customer_id,purchased,age,income_score,visits,channel
B001,no,22,35,1,Search
B002,no,25,42,2,Social
B003,yes,34,62,4,Search
B004,no,29,45,1,Email
B005,yes,41,70,5,Email
B006,yes,38,68,4,Referral
B007,no,23,39,1,Social
B008,yes,45,77,6,Referral
B009,no,31,48,2,Search
B010,yes,52,82,7,Email
B011,no,28,44,2,Social
B012,yes,36,65,4,Search
B013,no,27,43,1,Email
B014,yes,48,79,6,Referral
B015,no,33,50,2,Social
B016,yes,39,69,5,Email
B017,no,24,37,1,Search
B018,yes,44,75,5,Referral
B019,no,30,46,2,Email
B020,yes,50,81,7,Search
B021,no,26,41,1,Social
B022,yes,37,66,4,Referral
B023,no,32,49,2,Search
B024,yes,46,78,6,Email
B025,no,21,34,1,Social
B026,yes,42,72,5,Referral
B027,no,35,51,2,Email
B028,yes,54,85,7,Referral
B029,no,29,47,2,Search
B030,yes,40,71,5,Email
