policy_id,claims_count,exposure,risk_score,vehicle_age,region
C001,0,1.0,12,2,North
C002,1,1.0,18,4,South
C003,0,0.8,15,3,West
C004,2,1.2,26,6,East
C005,0,0.7,11,2,North
C006,3,1.5,34,8,South
C007,1,1.0,20,5,West
C008,0,0.9,14,3,East
C009,4,1.3,40,9,South
C010,0,0.6,10,1,North
C011,2,1.1,28,7,West
C012,6,1.4,48,10,East
C013,0,0.8,13,2,North
C014,1,1.0,21,5,South
C015,5,1.5,44,11,West
C016,0,0.7,12,1,East
C017,3,1.2,36,8,South
C018,8,1.6,55,12,West
C019,0,0.9,16,3,North
C020,2,1.1,30,7,East
C021,7,1.4,52,10,South
C022,0,0.8,15,2,West
C023,1,1.0,19,4,North
C024,9,1.6,60,13,East
