row_id,target_value,amount,visits,customer_segment,channel
HC001,20,100,1,Segment_001,Search
HC002,22,105,1,Segment_002,Social
HC003,19,98,2,Segment_003,Email
HC004,30,140,3,Segment_004,Referral
HC005,28,135,3,Segment_005,Search
HC006,35,160,4,Segment_006,Social
HC007,34,158,4,Segment_007,Email
HC008,40,190,5,Segment_008,Referral
HC009,41,195,5,Segment_009,Search
HC010,45,210,6,Segment_010,Social
HC011,43,205,6,Segment_011,Email
HC012,50,240,7,Segment_012,Referral
HC013,48,232,7,Segment_013,Search
HC014,55,260,8,Segment_014,Social
HC015,53,255,8,Segment_015,Email
HC016,60,290,9,Segment_016,Referral
HC017,58,282,9,Segment_017,Search
HC018,65,310,10,Segment_018,Social
HC019,63,305,10,Segment_019,Email
HC020,70,340,11,Segment_020,Referral
HC021,68,330,11,Segment_021,Search
HC022,75,360,12,Segment_022,Social
HC023,73,355,12,Segment_023,Email
HC024,80,390,13,Segment_024,Referral
HC025,78,380,13,Segment_025,Search
HC026,85,410,14,Segment_026,Social
HC027,83,405,14,Segment_027,Email
HC028,90,430,15,Segment_028,Referral
HC029,88,425,15,Segment_029,Search
HC030,95,455,16,Segment_030,Social
