account_id,plan_type,monthly_usage,support_tickets,team_size,industry
MC001,Basic,12,1,2,Retail
MC002,Basic,15,0,3,Retail
MC003,Premium,32,2,8,Software
MC004,Enterprise,75,5,45,Finance
MC005,Basic,18,1,4,Education
MC006,Premium,41,3,12,Software
MC007,Enterprise,88,7,60,Healthcare
MC008,Premium,36,2,10,Finance
MC009,Basic,14,0,2,Education
MC010,Enterprise,92,6,55,Software
MC011,Premium,45,3,15,Healthcare
MC012,Basic,20,1,5,Retail
MC013,Enterprise,80,5,50,Finance
MC014,Premium,39,2,11,Education
MC015,Basic,16,0,3,Retail
MC016,Enterprise,96,8,70,Healthcare
MC017,Premium,48,4,18,Software
MC018,Basic,11,0,2,Education
MC019,Enterprise,84,6,52,Finance
MC020,Premium,43,3,14,Retail
MC021,Basic,19,1,4,Healthcare
MC022,Enterprise,90,7,58,Software
MC023,Premium,34,2,9,Finance
MC024,Basic,13,0,2,Retail
