respondent_id,satisfaction_level,response_time_minutes,issue_count,agent_experience,service_channel
O001,low,45,5,1,Chat
O002,medium,30,3,2,Email
O003,high,12,0,5,Phone
O004,low,50,6,1,Email
O005,medium,28,2,3,Chat
O006,high,10,1,6,Phone
O007,low,42,4,2,Chat
O008,medium,25,2,4,Email
O009,high,8,0,7,Phone
O010,medium,32,3,3,Chat
O011,low,55,7,1,Email
O012,high,15,1,5,Phone
O013,medium,27,2,4,Email
O014,low,48,5,2,Chat
O015,high,11,0,6,Phone
O016,medium,29,3,3,Chat
O017,low,52,6,1,Email
O018,high,9,0,7,Phone
O019,medium,24,2,4,Email
O020,low,46,5,2,Chat
