record_id,sales,target_score,marketing_spend,training_hours,region
R001,48,67,8,3,North
R002,55,80,10,4,North
R003,43,62,7,3,South
R004,61,92,12,5,East
R005,50,75,9,4,South
R006,66,101,13,6,East
R007,39,56,6,2,West
R008,58,88,11,5,North
R009,47,68,8,4,West
R010,70,110,15,6,East
R011,52,78,10,4,South
R012,44,63,7,3,West
R013,63,96,12,6,North
R014,57,84,11,4,East
R015,41,59,6,3,South
R016,68,105,14,6,East
R017,49,72,9,3,North
R018,53,79,10,4,West
R019,60,90,12,5,South
R020,46,66,8,3,West
R021,65,99,13,5,North
R022,51,76,9,4,South
R023,72,114,16,6,East
R024,45,64,7,4,West
R025,59,87,11,5,North
R026,54,81,10,5,South
R027,62,94,12,5,East
R028,40,57,6,2,West
R029,67,103,14,6,North
R030,56,83,11,4,South
