record_id,target_value,predictor_a,predictor_b,predictor_c,group
M001,52,10,21,5,A
M002,55,11,23,6,A
M003,57,12,25,7,B
M004,60,13,27,7,B
M005,63,14,29,8,A
M006,65,15,31,9,C
M007,,16,33,10,C
M008,70,17,,10,A
M009,73,18,37,11,B
M010,75,19,39,12,B
M011,78,20,41,,C
M012,80,21,43,13,A
M013,82,22,45,14,B
M014,85,23,47,14,C
M015,88,24,49,15,A
M016,90,25,51,16,C
M017,92,26,53,16,B
M018,95,27,55,17,A
M019,98,28,57,18,C
M020,100,29,59,18,B
M021,180,60,121,40,A
M022,35,3,7,2,C
M023,102,30,61,19,B
M024,105,31,63,20,A
